"DEAL","TAG","POSITION_SC_DATE_ADJUSTED","FUND_NAME","STRATEGY","SUB_STRATEGY","BOOK_NAME","POSITION_DESC","TICKER","SEDOL","RIC","BB_YELLOW_KEY","ISIN","NOTIONAL_QUANTITY","POSITION_AGE","MARKET_PRICE","AVERAGE_COST","DAILY_PNL","MTD_PNL","YTD_PNL","PNL","DELTA_ADJ_LMV","DELTA_ADJ_SMV","DELTA_ADJ_NMV","BETA_ADJ_NET","GAMMA","VEGA","THETA","CUSTODIAN_ACCT_NUMBER","CUSTODIAN_ACCT_DIS_NAME","ACCRUAL_FEES","ACCRUED_DIVIDENDS","ACCRUED_DIVIDENDS_FEES","ACCRUED_INTEREST","ACCRUED_INTEREST_PBD","ACCRUED_INTEREST_PROCEEDS","ACCRUED_RECEIVABLE","DIRTY_LMV","DIRTY_SMV","DV01_SECONDARY_CCY","DAILY_ACCRUED_INTEREST","DAILY_ACCRUED_DIVIDENDS_WITHHOLDING_TAX","DAILY_ACCRUED_PAID_INTEREST","DAILY_FINANCING","DAILY_PNL_GL_NAV","DAILY_PNL_GL_NAV_FOR_BOOK","DAILY_PNL_HIERARCHICAL_NAV","DAILY_PNL_LE_NAV","DAILY_PNL_SOM_NAV","DAILY_FINANCING_ACCRUED_INTEREST","DAILY_FINANCING_INTEREST","DAILY_FEES","DAILY_REALIZED_PNL","DAILY_REALIZED_TRADING_PNL","DAILY_REBATE","DAILY_REALIZED_ACCRUED_INTEREST","DAILY_PRINCIPAL_AMOUNT","DAILY_PAID_INTEREST","DAILY_PAID_DIVIDENDS_WITHHOLDING_TAX","GL_GAV","GL_GAV_START_OF_DAY","GL_GAV_START_OF_MONTH","GL_GAV_START_OF_QUARTER","GL_GAV_START_OF_SEMI_ANNUAL","GL_GAV_START_OF_WEEK","GL_GAV_START_OF_YEAR","MTD_FINANCING","MTD_DIVIDENDS","DAILY_COMMISSIONS","DAILY_IMPLIED_FEES","DAILY_ST_TRADING_REALIZED","DAILY_PNL_CHANGE","DAILY_OTHER_FIN_INT","DAILY_OTHER_FINANCING","DAILY_NET_INTEREST","DAILY_TRADING_PNL","DAILY_TRADING_ACCRUED_INTEREST","DAILY_TAXES","DAILY_TRADING_PNL_COST_FX","DAILY_TRADING_SETTLEMENT_INTEREST","DAILY_UNDERLYING_CONTRIBUTION","DAILY_UNDERLYING_FX_REALIZED_CONTRIBUTION","DAILY_UNSETTLED_FINANCING_INTEREST","DAILY_UNREALIZED_FEES_AND_COMMISSIONS","DAILY_DIVIDENDS","DAILY_FX_CONTRIBUTION","DAILY_FX_CONTRIBUTION_AT_COST_FX","DAILY_FX_REALIZED_CONTRIBUTION","DAILY_FX_SETTLED_CASH","DAILY_FIN_REST_REALIZED_TRADING_PNL","DAILY_IMPLIED_COMMISSIONS","FINANCING_INTEREST","MTD_ACCRUED_COST_OF_CARRY","MTD_ACCRUED_DELAYED_COMPENSATION","MTD_ACCRUED_DIVIDEND","MTD_ACCRUED_DIVIDENDS_WITHHOLDING_FX_UNREALIZED","MTD_ACCRUED_DIVIDENDS_WITHHOLDING_TAX","MTD_ACCRUED_DIVIDENDS_WITHHOLDING_TAX_NET_OF_FX","MTD_ACCRUED_DIVIDENDS","MTD_ACCRUED_INTEREST","MTD_CARRY_CASH_FLOWS","MTD_COMMISSIONS","MTD_DIVIDEND_FX_UNREALIZED","MTD_DIVIDEND_FEE_FX_REALIZED","MTD_DIVIDEND_FEE_FX_UNREALIZED","MTD_DIVIDEND_WITHHOLDING_TAX","MTD_FX_CONTRIBUTION_AT_COST_FX","MTD_FX_CONTRIBUTION","MTD_FX_REALIZED_CONTRIBUTION","MTD_FX_SETTLED_CASH","MTD_FEES","MTD_FIN_CFD_ONLY","MTD_FIN_NON_NULL","MTD_FIN_ACCRUED_INTEREST","MTD_FIN_RESET_NET_PAYMENT","MTD_FINANCING_INTEREST","MTD_FINANCING_RESET_REALIZED_TRADING_PNL","MTD_FINANCING_AND_INTEREST","MTD_GROSS_TRADING","MTD_GROSS_TRADING_AND_FX_CONTRIBUTION","MTD_IMPLIED_COMMISSIONS","MTD_IMPLIED_FEES","MTD_LT_TRADING_REALIZED","MTD_OTHER_FINANCING","MTD_NET_INTEREST","MTD_OTHER_FIN_ACCRUED_INTEREST","MTD_OTHER_FIN_INTEREST","MTD_OTHER_PNL","MTD_PNL_CHANGE","MTD_PNL_LESS_FX_CONTRIBUTION","MTD_PAID_COST_OF_CARRY","MTD_PAID_DELAYED_COMPENSATION","MTD_PAID_DIVIDEND_FX_REALIZED","MTD_REALIZED_TAXES","MTD_REALIZED_TRADING_PNL","MTD_REALIZED_TRADING_PL","MTD_PRINCIPAL_AMOUNT","MTD_PAID_DIVIDENDS_FEES","MTD_PAID_DIVIDENDS_WITHHOLDING_TAX","YTD_UNSETTLED_FIN_INTEREST","YTD_UNREALIZED_FEES_AND_COMMISSIONS","YTD_TRADING_PNL_AT_COST_FX","YTD_TRADING_PNL","YTD_TOTAL_INTEREST","YTD_TRS_FX_UNREALIZED_ADJUSTMENT","YTD_SETTLEMENT_ACCRUED_INTEREST","YTD_ST_TRADING_REALIZED","YTD_REBATE","YTD_REALIZED_TRADING_PNL","YTD_REALIZED_TAXES","YTD_REALIZED_PNL","YTD_REALIZED_FEES","YTD_REALIZED_COMMISSIONS","YTD_REALIZED_ACCRUED_INTEREST","YTD_PRINCIPAL_AMOUNT","YTD_PAID_DIVIDENDS_WITHHOLDING_TAX","YTD_PAID_DIVIDENDS_FEES","YTD_PAID_DIVIDENDS","YTD_PAID_DELAYED_COMPENSATION","YTD_PAID_COST_OF_CARRY","YTD_PAID_LESS_FX_CONTRIBUTION","YTD_PNL_CHANGE","YTD_OTHER_PAID_DIVIDENDS","YTD_OTHER_INTEREST","YTD_OTHER_FINANCING_INTEREST","YTD_OTHER_FINANCING_ACCRUED_INTEREST","YTD_OTHER_FINANCING","YTD_OTHER_EXPENSES","YTD_OTHER_ACCRUED_INTEREST","YTD_OTHER_ACCRUED_DIVIDENDS_WITHHOLDING_TAX","YTD_OTHER_ACCRUED_DIVIDENDS","YTD_NET_INTEREST","YTD_LT_TRADING_REALIZED","YTD_IMPLIED_FEES","YTD_IMPLIED_COMMISSION","YTD_GROSS_TRADING_UNREALIZED","PNL_GL_NAV","PNL_GL_PNL","PNL_GL_PNL_GL_NAV","PNL_ADJUSTMENT_FX_REALIZED_CONTRIBUTION","PNL_ADJUSTMENT_FX_UNREALIZED_CONTRIBUTION","PNL_EIGHT_WEEK_AGO","PNL_FOUR_WEEK_AGO","PNL_PBD","PNL_REALIZED_ADJUSTMENT","PNL_SOM","PNL_SOQ","PNL_SOSA","PNL_SOW","PNL_SOY","PNL_SIX_WEEK_AGO","PNL_TWELVE_WEEK_AGO","PNL_TWO_WEEK_AGO","PNL_UNREALIZED_ADJUSTMENT","PNL_WEEK_AGO","PTD_PNL","MTD_DIVIDEND_FEE","MTD_GROSS_TRADING_REALIZED","MTD_PAID_DIVIDENDS_FEE_FX_REALIZED","MTD_PAID_DIVIDENDS_FEE_NET_OF_FX","MTD_PAID_DIVIDENDS_WITHHOLDING_FX_REALIZED","MTD_PAID_DIVIDENDS_WITHHOLDING_NET_OF_FX","MTD_PAID_DIVIDENDS","MTD_REALIZED_COMMISSIONS","MTD_REALIZED_FEES","MTD_REALIZED_PNL","MTD_REBATE","MTD_ST_TRADING_REALIZED","MTD_SETTLEMENT_ACCRUED_INTEREST","MTD_TAXES","MTD_TOTAL_REALIZED_TRADING_FX","MTD_TOTAL_UNREALIZED_TRADING_FX","MTD_TRADING_PNL","MTD_TRADING_PNL_AT_COST_FX","MTD_UNREALIZED_FEES_AND_COMMISSIONS","YTD_FINANCING","YTD_FINANCING_ACCRUED_INTEREST","YTD_FINANCING_INTEREST","YTD_FINANCING_RESET_REALIZED_TRADING_PNL","YTD_GROSS_TRADING","YTD_GROSS_TRADING_REALIZED","YTD_TAXES"
"ECM","Cash","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","","","","Settled Cash - USD","","","","","","0","0","","1","0","0","0","0","0","0","","","","","","Non-Trading","Non-Trading","","","","0","0","","","","","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Technology fee payable","","","","","","-1049.86","0","1","1","0","0","0","0","0","-1049.86","-1049.86","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-1049.86","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Legal Fees","","","","","","-12568.34","0","1","0","-11459.37","-11459.37","-11459.37","-12568.34","0","0","0","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","0","","0","","","","0","0","0","0","0","","","","-11459.37","-11459.37","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","-11459.37","","","0","-11459.37","","","-11459.37","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","-11459.37","-11459.37","","","","","0","","","0","-11459.37","-11459.37","0","0","","","-11459.37","-11459.37","","","","","0","-11459.37","-11459.37","0","0","","","","-11459.37","","-11459.37","","","","","","","","0","0","-11459.37","-11459.37","","","","","","","","","","0","","","","0","0","-12568.34","0","","","0","-1108.97","-1108.97","","-1108.97","-1108.97","-1108.97","-1108.97","-1108.97","0","0","-1108.97","","-1108.97","-11459.37","","-11459.37","","","","","","","","-11459.37","","","","","-11459.37","0","-11459.37","-11459.37","0","","","","","-11459.37","-11459.37",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Administrator Fee Payable","","","","","","-5000","0","1","1","0","0","0","0","0","-5000","-5000","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-5000","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Research Fee Expense","","","","","","-2093.8","0","1","0","-2093.8","-2093.8","-2093.8","-2093.8","0","0","0","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","0","","0","","","","0","0","0","0","0","","","","-2093.8","-2093.8","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","-2093.8","","","0","-2093.8","","","-2093.8","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","-2093.8","-2093.8","","","","","0","","","0","-2093.8","-2093.8","0","0","","","-2093.8","-2093.8","","","","","0","-2093.8","-2093.8","0","0","","","","-2093.8","","-2093.8","","","","","","","","0","0","-2093.8","-2093.8","","","","","","","","","","0","","","","0","0","-2093.8","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","-2093.8","","-2093.8","","","","","","","","-2093.8","","","","","-2093.8","0","-2093.8","-2093.8","0","","","","","-2093.8","-2093.8",""
"ECM","Cash","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Settled Cash - USD","","","","","","0","0","","1","0","0","0","0","0","0","","","","","","514576597","JPM-PB-APIA1","","","","0","0","","","","","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","Cash","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","","","","Settled Cash - USD","","","","","","0","0","","1","0","0","0","0","0","0","","","","","","19-4678","US Bank APIA 1","","","","0","0","","","","","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","Cash","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Unsettled Cash - USD","","","","","","0","0","","1","0","0","0","0","0","0","","","","","","19-4678","US Bank APIA 1","","","","0","0","","","","","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Tax Fee","","","","","","-1666.67","0","1","0","-1666.67","-1666.67","-1666.67","-1666.67","0","0","0","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","0","","0","","","","0","0","0","0","0","","","","-1666.67","-1666.67","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","-1666.67","","","0","-1666.67","","","-1666.67","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","-1666.67","-1666.67","","","","","0","","","0","-1666.67","-1666.67","0","0","","","-1666.67","-1666.67","","","","","0","-1666.67","-1666.67","0","0","","","","-1666.67","","-1666.67","","","","","","","","0","0","-1666.67","-1666.67","","","","","","","","","","0","","","","0","0","-1666.67","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","-1666.67","","-1666.67","","","","","","","","-1666.67","","","","","-1666.67","0","-1666.67","-1666.67","0","","","","","-1666.67","-1666.67",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Insurance Fee Expense Payable","","","","","","-3010.68","0","1","1","0","0","0","0","0","-3010.68","-3010.68","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-3010.68","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Audit Fee","","","","","","-1666.67","0","1","0","-1666.67","-1666.67","-1666.67","-1666.67","0","0","0","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","0","","0","","","","0","0","0","0","0","","","","-1666.67","-1666.67","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","-1666.67","","","0","-1666.67","","","-1666.67","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","-1666.67","-1666.67","","","","","0","","","0","-1666.67","-1666.67","0","0","","","-1666.67","-1666.67","","","","","0","-1666.67","-1666.67","0","0","","","","-1666.67","","-1666.67","","","","","","","","0","0","-1666.67","-1666.67","","","","","","","","","","0","","","","0","0","-1666.67","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","-1666.67","","-1666.67","","","","","","","","-1666.67","","","","","-1666.67","0","-1666.67","-1666.67","0","","","","","-1666.67","-1666.67",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Insurance Fee Expense","","","","","","-3010.68","0","1","0","-3010.68","-3010.68","-3010.68","-3010.68","0","0","0","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","0","","0","","","","0","0","0","0","0","","","","-3010.68","-3010.68","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","-3010.68","","","0","-3010.68","","","-3010.68","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","-3010.68","-3010.68","","","","","0","","","0","-3010.68","-3010.68","0","0","","","-3010.68","-3010.68","","","","","0","-3010.68","-3010.68","0","0","","","","-3010.68","","-3010.68","","","","","","","","0","0","-3010.68","-3010.68","","","","","","","","","","0","","","","0","0","-3010.68","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","-3010.68","","-3010.68","","","","","","","","-3010.68","","","","","-3010.68","0","-3010.68","-3010.68","0","","","","","-3010.68","-3010.68",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Audit Fee Payable","","","","","","-1666.67","0","1","1","0","0","0","0","0","-1666.67","-1666.67","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-1666.67","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","Cash","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","","","","Unsettled Cash - USD","","","","","","0","0","","1","0","0","0","0","0","0","","","","","","514576597","JPM-PB-APIA1","","","","0","0","","","","","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Market Data Fee Payable","","","","","","-4032.52","0","1","1","0","0","0","0","0","-4032.52","-4032.52","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-4032.52","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Research Fee Expense Payable","","","","","","-2093.8","0","1","1","0","0","0","0","0","-2093.8","-2093.8","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-2093.8","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Legal fee payable","","","","","","-12568.34","0","1","1","0","0","0","0","0","-12568.34","-12568.34","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-12568.34","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha I Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Administrator Fee","","","","","","-5000","0","1","0","-2500","-2500","-2500","-5000","0","0","0","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","0","","0","","","","0","0","0","0","0","","","","-2500","-2500","","","","0","","319329102.4","319260648.7","315625023.7","315625023.7","315625023.7","319018273.7","315625023.7","","","","","","-2500","","","0","-2500","","","-2500","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","-2500","-2500","","","","","0","","","0","-2500","-2500","0","0","","","-2500","-2500","","","","","0","-2500","-2500","0","0","","","","-2500","","-2500","","","","","","","","0","0","-2500","-2500","","","","","","","","","","0","","","","0","0","-5000","0","","","0","-2500","-2500","","-2500","-2500","-2500","-2500","-2500","0","0","-2500","","-2500","-2500","","-2500","","","","","","","","-2500","","","","","-2500","0","-2500","-2500","0","","","","","-2500","-2500",""
"ECM","Cash","1/31/24","Alternative Fund Alpha II Co-Invest Fund LP","","","","Settled Cash - USD","","","","","","0","0","","1","0","0","0","0","0","0","","","","","","Non-Trading","Non-Trading","","","","0","0","","","","","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","136911524.7","136885322.2","135327197.2","135327197.2","135327197.2","136781447.2","135327197.2","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha II Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Audit Fee Payable","","","","","","-1667","0","1","1","0","0","0","0","0","-1667","-1667","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-1667","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","136911524.7","136885322.2","135327197.2","135327197.2","135327197.2","136781447.2","135327197.2","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
"ECM","SRT","1/31/24","Alternative Fund Alpha II Co-Invest Fund LP","Asset-Based Capital Solutions","SRT","Alpha_Active","Administrator Fee Payable","","","","","","-5000","0","1","1","0","0","0","0","0","-5000","-5000","0","","","","Non-Trading","Non-Trading","","","","0","0","","0","0","-5000","","0","","","","0","0","0","0","0","","","","0","0","","","","0","","136911524.7","136885322.2","135327197.2","135327197.2","135327197.2","136781447.2","135327197.2","","","","","","0","","","0","0","","","0","","","","","0","","0","0","0","","","","","0","0","","","","","","0","0","","","","","","0","0","0","","","0","0","","","","","0","0","0","","","","","0","","","0","0","0","0","0","","","0","0","","","","","0","0","0","0","0","","","","0","","0","","","","","","","","0","0","0","0","","","","","","","","","","0","","","","0","0","0","0","","","0","0","0","","0","0","0","0","0","0","0","0","","0","0","","0","","","","","","","","0","","","","","0","0","0","0","0","","","","","0","0",""
